수량,중량,평균가,yyyy,mm,dd,산지_노르웨이,산지_러시아
269,1.0,83800,2019,3,14,0,1
395,1.0,84100,2019,3,15,0,1
357,1.0,87500,2019,3,16,0,1
87,1.0,72500,2019,3,18,0,1
39,1.0,42500,2019,3,19,0,1
3,1.0,45000,2019,3,20,0,1
2313,1.0,68500,2019,3,23,0,1
1143,1.0,54400,2019,3,25,0,1
647,1.0,50300,2019,3,26,0,1
343,1.0,35400,2019,3,27,0,1
247,1.0,49800,2019,3,28,0,1
163,1.0,48400,2019,3,29,0,1
773,1.0,69000,2019,3,30,0,1
186,1.0,76900,2019,4,1,0,1
779,1.0,68700,2019,4,2,0,1
378,1.0,72100,2019,4,3,0,1
616,1.0,64100,2019,4,4,0,1
642,1.0,71800,2019,4,5,0,1
691,1.0,54700,2019,4,6,0,1
54,1.0,71800,2019,4,8,0,1
119,1.0,76500,2019,4,9,0,1
243,1.0,75400,2019,4,11,0,1
182,1.0,76300,2019,4,12,0,1
1084,1.0,78100,2019,4,13,0,1
460,1.0,73700,2019,4,15,0,1
249,1.0,73100,2019,4,16,0,1
760,1.0,67900,2019,4,17,0,1
178,1.0,64200,2019,4,18,0,1
2164,1.0,50100,2019,4,19,0,1
776,1.0,43700,2019,4,20,0,1
98,1.0,21700,2019,4,22,0,1
1636,1.0,33800,2019,4,23,0,1
240,1.0,54400,2019,4,24,0,1
324,1.0,47800,2019,4,25,0,1
927,1.0,46300,2019,4,26,0,1
1707,1.0,51300,2019,4,27,0,1
578,1.0,37000,2019,4,29,0,1
600,1.0,58400,2019,4,30,0,1
281,1.0,55200,2019,5,1,0,1
359,1.0,54200,2019,5,2,0,1
1125,1.0,58600,2019,5,3,0,1
1404,1.0,57200,2019,5,4,0,1
535,1.0,66800,2019,5,6,0,1
1333,1.0,58800,2019,5,7,0,1
3598,1.0,25200,2019,5,8,0,1
629,1.0,23100,2019,5,9,0,1
1507,1.0,20200,2019,5,10,0,1
890,1.0,45100,2019,5,11,0,1
658,1.0,26000,2019,5,13,0,1
340,1.0,54600,2019,5,14,0,1
559,1.0,30100,2019,5,15,0,1
1152,1.0,30600,2019,5,16,0,1
