수량,중량,평균가,yyyy,mm,dd,산지_서천,산지_완도,산지_충무,산지_통영,산지_흑산도
69,1.0,7900,2018,10,24,0,0,0,1,0
19,1.0,11600,2018,10,25,0,0,0,1,0
162,1.0,10800,2018,10,31,0,0,0,1,0
52,1.0,28000,2018,11,1,0,0,0,1,0
33,1.0,7700,2018,11,9,0,0,0,1,0
115,1.0,10500,2018,11,10,0,0,0,1,0
37,1.0,9300,2018,11,12,0,0,0,1,0
15,1.0,14000,2018,11,13,0,0,0,1,0
235,1.0,10300,2018,11,15,0,0,0,1,0
18,1.0,13300,2018,11,16,0,0,0,1,0
193,1.0,10100,2018,11,17,0,0,0,1,0
1018,1.0,11900,2018,11,23,0,0,0,1,0
24,1.0,8200,2018,11,27,0,0,0,1,0
2,1.0,10000,2018,11,29,0,0,0,1,0
14,1.0,10000,2018,11,30,0,0,0,1,0
7,1.0,34400,2018,12,4,0,0,0,1,0
211,1.0,16700,2018,12,6,0,0,0,1,0
576,1.0,10900,2018,12,7,0,0,0,1,0
8,1.0,12000,2018,12,10,0,0,0,1,0
2,1.0,9000,2018,12,11,0,0,0,1,0
178,1.0,16300,2018,12,12,0,0,0,1,0
17,1.0,8000,2018,12,13,0,0,0,1,0
657,1.0,13100,2018,12,14,0,0,0,1,0
394,1.0,10500,2018,12,17,0,0,0,1,0
18,1.0,8500,2018,12,18,0,0,0,1,0
277,1.0,9100,2018,12,20,0,0,0,1,0
148,1.0,8600,2018,12,21,0,0,0,1,0
206,1.0,12000,2018,12,22,0,0,0,1,0
196,1.0,13800,2018,12,24,0,0,0,1,0
233,1.0,14800,2018,12,26,0,0,0,1,0
313,1.0,13400,2018,12,28,0,0,0,1,0
216,1.0,15200,2018,12,29,0,0,0,1,0
