amount,weight,avg_price,yyyy,mm,dd,origin_부산(기장),origin_삼천포,origin_안흥,origin_제주도,origin_포항,standard_18미,standard_20미,standard_28미,standard_중
1672,12,15.0,15000,2017,7,12,0,0,0,0,1,0,0,0,1
1685,5,10.0,20000,2017,7,13,0,0,0,0,1,0,0,0,1
1696,60,15.0,60000,2017,7,14,0,0,0,1,0,0,1,0,0
1698,33,15.0,53000,2017,7,14,0,0,0,1,0,0,0,0,1
1706,346,18.0,38100,2017,7,15,1,0,0,0,0,0,1,0,0
1708,19,13.0,5000,2017,7,15,1,0,0,0,0,0,0,1,0
1709,864,18.0,34000,2017,7,15,1,0,0,0,0,0,0,1,0
1712,110,15.0,40000,2017,7,15,0,0,0,1,0,0,1,0,0
1713,7,10.0,30000,2017,7,15,0,0,0,1,0,0,0,0,1
1714,38,15.0,27100,2017,7,15,0,0,0,1,0,0,0,0,1
1715,271,18.0,35900,2017,7,17,1,0,0,0,0,0,1,0,0
1718,381,18.0,28000,2017,7,17,1,0,0,0,0,0,0,1,0
1720,66,15.0,50000,2017,7,17,0,0,0,1,0,0,1,0,0
1722,20,10.0,35000,2017,7,17,0,0,0,1,0,0,0,0,1
1731,22,18.0,32000,2017,7,18,1,0,0,0,0,1,0,0,0
1732,103,18.0,45000,2017,7,18,1,0,0,0,0,0,1,0,0
1737,1,18.0,10000,2017,7,18,1,0,0,0,0,0,0,0,1
1740,136,15.0,44800,2017,7,18,0,0,0,1,0,0,1,0,0
1743,160,15.0,28000,2017,7,18,0,0,0,1,0,0,0,1,0
1752,15,18.0,50000,2017,7,19,1,0,0,0,0,1,0,0,0
1753,463,18.0,36400,2017,7,19,1,0,0,0,0,0,1,0,0
1756,434,18.0,25000,2017,7,19,1,0,0,0,0,0,0,1,0
1759,17,15.0,30000,2017,7,19,0,1,0,0,0,0,1,0,0
1765,92,18.0,38300,2017,7,20,1,0,0,0,0,1,0,0,0
1766,411,18.0,26700,2017,7,20,1,0,0,0,0,0,1,0,0
1768,168,18.0,13600,2017,7,20,1,0,0,0,0,0,0,1,0
1773,105,18.0,42300,2017,7,21,1,0,0,0,0,1,0,0,0
1774,283,18.0,36900,2017,7,21,1,0,0,0,0,0,1,0,0
1785,154,18.0,32800,2017,7,22,1,0,0,0,0,0,1,0,0
1789,34,18.0,17000,2017,7,22,1,0,0,0,0,0,0,1,0
1792,94,15.0,41300,2017,7,22,0,0,0,1,0,0,0,0,1
1793,107,18.0,32300,2017,7,24,1,0,0,0,0,1,0,0,0
1794,221,18.0,17200,2017,7,24,1,0,0,0,0,0,1,0,0
1803,1196,18.0,12700,2017,7,25,1,0,0,0,0,0,1,0,0
1807,150,18.0,9000,2017,7,25,1,0,0,0,0,0,0,1,0
1812,36,18.0,15000,2017,7,26,1,0,0,0,0,1,0,0,0
1813,366,18.0,16000,2017,7,26,1,0,0,0,0,0,1,0,0
1817,560,18.0,15000,2017,7,26,1,0,0,0,0,0,0,1,0
1819,1,15.0,15000,2017,7,26,0,0,0,1,0,1,0,0,0
1821,214,18.0,30000,2017,7,27,1,0,0,0,0,0,1,0,0
1823,7,18.0,20000,2017,7,27,0,1,0,0,0,0,1,0,0
1826,1,15.0,13000,2017,7,27,0,0,0,1,0,0,1,0,0
1829,31,18.0,45000,2017,7,28,1,0,0,0,0,1,0,0,0
1830,42,18.0,40000,2017,7,28,1,0,0,0,0,0,1,0,0
1834,138,18.0,30000,2017,7,28,1,0,0,0,0,0,0,1,0
1835,7,15.0,35000,2017,7,28,0,0,0,1,0,0,0,0,1
1836,300,18.0,20000,2017,7,31,1,0,0,0,0,0,1,0,0
1841,5,18.0,15000,2017,7,31,0,1,0,0,0,1,0,0,0
1850,64,18.0,16000,2017,8,1,1,0,0,0,0,1,0,0,0
1851,673,18.0,19800,2017,8,1,1,0,0,0,0,0,1,0,0
1856,5,10.0,25000,2017,8,1,0,0,0,1,0,0,1,0,0
1865,31,18.0,43000,2017,8,2,1,0,0,0,0,1,0,0,0
1866,20,18.0,30000,2017,8,2,1,0,0,0,0,0,1,0,0
1871,1,13.0,22000,2017,8,2,0,0,0,1,0,0,1,0,0
1876,120,18.0,49700,2017,8,3,1,0,0,0,0,0,1,0,0
1883,196,18.0,28600,2017,8,4,1,0,0,0,0,1,0,0,0
1884,1073,18.0,27900,2017,8,4,1,0,0,0,0,0,1,0,0
1888,107,18.0,12000,2017,8,4,1,0,0,0,0,0,0,1,0
1895,61,18.0,40000,2017,8,5,1,0,0,0,0,1,0,0,0
1896,204,18.0,31200,2017,8,5,1,0,0,0,0,0,1,0,0
1904,1,15.0,30000,2017,8,5,0,0,0,1,0,0,0,0,1
1907,543,18.0,41500,2017,8,7,1,0,0,0,0,0,1,0,0
1911,219,18.0,18200,2017,8,7,1,0,0,0,0,0,0,1,0
1922,326,18.0,29300,2017,8,8,1,0,0,0,0,0,1,0,0
1923,90,18.0,25000,2017,8,8,1,0,0,0,0,0,0,1,0
1926,110,15.0,10000,2017,8,8,0,0,0,0,1,0,0,0,1
1943,33,15.0,70000,2017,8,10,0,0,0,1,0,1,0,0,0
1944,82,15.0,54000,2017,8,10,0,0,0,1,0,0,0,0,1
1946,29,15.0,15000,2017,8,10,0,0,0,0,1,1,0,0,0
1947,14,15.0,15000,2017,8,10,0,0,0,0,1,0,0,0,1
1961,64,15.0,55000,2017,8,12,0,0,0,1,0,0,0,0,1
1967,385,18.0,33100,2017,8,14,1,0,0,0,0,0,1,0,0
1971,275,18.0,22000,2017,8,14,1,0,0,0,0,0,0,1,0
1976,1,15.0,15000,2017,8,14,0,0,0,1,0,0,0,0,1
1980,62,18.0,33000,2017,8,15,1,0,0,0,0,1,0,0,0
1981,930,18.0,31100,2017,8,15,1,0,0,0,0,0,1,0,0
1989,221,15.0,30000,2017,8,15,0,0,0,1,0,0,0,0,1
1990,178,18.0,26500,2017,8,16,1,0,0,0,0,1,0,0,0
1991,1366,18.0,28400,2017,8,16,1,0,0,0,0,0,1,0,0
1995,464,18.0,15300,2017,8,16,1,0,0,0,0,0,0,1,0
2003,29,18.0,18000,2017,8,17,1,0,0,0,0,1,0,0,0
2004,561,18.0,23300,2017,8,17,1,0,0,0,0,0,1,0,0
